year,propClinical,propJunior,propSenior,over70,over70Clinical,under40,under40Clinical,female,femaleClinical,femaleClinicalOnly,minority,minorityClinical,minorityClinicalOnly,minorityFemale,minorityMale,age,propCollegeDeg,propLawDeg,propAdvLawDeg,propGradDeg
1999,0.0620084694494858,0.231094978826376,0.706745311554749,0.0306072874493927,0.0292361855196694,0.168906882591093,0.173427215674269,0.265322580645161,0.287443267776097,0.623471882640587,0.140783744557329,0.138989715668482,0.109756097560976,0.0535483870967742,0.0870967741935484,50.4025715597735,0.918561522335107,0.972423802612482,0.370101596516691,0.370101596516691
2000,0.0647364513734224,0.231477357089829,0.703637713437268,0.0333280178599904,0.0315504807692308,0.166321160899378,0.170222355769231,0.272193107829125,0.295069795069795,0.626146788990826,0.143378850428708,0.141945063103192,0.119266055045872,0.0566936636493568,0.0865491503890742,50.7587139423077,0.917434106065418,0.970943156557637,0.372181644966656,0.372181644966656
2001,0.0706585081585082,0.22770979020979,0.701340326340326,0.0398425196850394,0.0375995281627838,0.159527559055118,0.164553229135948,0.279642409033877,0.30453154597115,0.630927835051546,0.146777481574408,0.144376456876457,0.111340206185567,0.0575595984943538,0.0890840652446675,51.0833087584783,0.918613768229575,0.969891798651403,0.376979771052219,0.376979771052219
2002,0.0784285916891221,0.232449297971919,0.688838462629414,0.0427443085024005,0.0400576368876081,0.154406070930773,0.159077809798271,0.286483990147783,0.314042553191489,0.63768115942029,0.151631773399015,0.149340519075308,0.121157323688969,0.0604987684729064,0.0911330049261084,51.3848703170029,0.916102216748769,0.966594827586207,0.378540640394089,0.378540640394089
2003,0.0790202048159424,0.239551619153058,0.681151397730418,0.0456538170823885,0.0430137756536407,0.155555555555556,0.159263424233905,0.297159176311438,0.323415444229172,0.628721541155867,0.155719224410041,0.153058400221423,0.120840630472855,0.0635803396963776,0.092138884713663,51.6110486364914,0.917330527581542,0.965579437847588,0.383886968284984,0.383886968284984
2004,0.0794424143997835,0.250642847475978,0.669644065502775,0.0497857881518688,0.0467097128726473,0.161914610725366,0.164033521088062,0.305927342256214,0.332205225395966,0.636518771331058,0.161470588235294,0.158749492488835,0.126064735945486,0.067509927930578,0.0938373290189734,51.7788157713972,0.917205882352941,0.9675,0.386911764705882,0.386911764705882
2005,0.0812169312169312,0.255687830687831,0.662433862433863,0.0522506875090462,0.0489444668549146,0.163988999855261,0.165523732687912,0.311671469740634,0.338536843497817,0.641693811074919,0.165826249819911,0.162962962962963,0.128664495114007,0.0698847262247839,0.095821325648415,52.0197660346914,0.915574124765884,0.967583921625126,0.386831868606829,0.386831868606829
2006,0.0824027724297266,0.263380824027724,0.65318957771788,0.0543279380717804,0.0509911319770475,0.168191414496833,0.169796557120501,0.318672082924779,0.344845294646296,0.632398753894081,0.169304019044952,0.165575664227955,0.123052959501558,0.0736694677871149,0.0955182072829132,52.2797339593114,0.913597535359193,0.966951407365915,0.387060635765299,0.387060635765299
2007,0.0847035376183358,0.274663677130045,0.638515196811161,0.0571938005760527,0.0537320998606007,0.172815800301742,0.173488784691421,0.329602838815341,0.355602642403091,0.631811487481591,0.173100531987451,0.168535127055306,0.116176470588235,0.0774897680763984,0.0954979536152797,52.4299835255354,0.909971354521893,0.964806984040376,0.383167371436366,0.383167371436366
2008,0.0718799368088468,0.243680884676145,0.683912585571353,0.0596120935539076,0.0559776089564174,0.172703936109527,0.171931227508996,0.335084481045009,0.356512577373897,0.631868131868132,0.169032074936134,0.166666666666667,0.135531135531136,0.0775017743080199,0.0914123491838183,52.8372650939624,0.908884473460119,0.964802724950326,0.385892705080897,0.385892705080897
2009,0.0955999509743841,0.27000857948278,0.633656085304572,0.0604733889724997,0.0560594608213656,0.180188808318511,0.180272108843537,0.343919652551574,0.372378265669079,0.641848523748395,0.175776481757765,0.170976835396495,0.125641025641026,0.0811177428106348,0.0945469343461747,52.742756361804,0.897463718974637,0.958361589583616,0.379492743794927,0.379492743794927
2010,0.0973849248609632,0.26955389894687,0.632351201041297,0.0675245423189175,0.0632478632478633,0.178296630405943,0.177777777777778,0.352107128790863,0.380698638247484,0.645985401459854,0.176069273156652,0.170867352975979,0.123936816524909,0.0821414512531164,0.0938197086996457,53.0285714285714,0.893203883495146,0.956966675413277,0.37378640776699,0.37378640776699
2011,0.10195530726257,0.267807262569832,0.629539106145252,0.0708371665133395,0.0662483407747074,0.175318701537653,0.174972849040666,0.359293873312565,0.38788584740827,0.64,0.177172503242542,0.171671322160149,0.124429223744292,0.0843279709392839,0.0926310326933057,53.2277060456136,0.888845654993515,0.954215304798962,0.372373540856031,0.372373540856031
2012,0.0716538413018797,0.280686262142046,0.647155292039864,0.0820033021463952,0.0787198348173958,0.161392405063291,0.160665892373209,0.360136054421769,0.379323403181015,0.628521126760563,0.17675050985724,0.1743408603507,0.144366197183099,0.0848633210934313,0.0916632666938664,53.8975351658279,0.889870836165874,0.952957171991842,0.371447994561523,0.371447994561523
2013,0.07319257837492,0.268330134357006,0.657325655790147,0.0907181856362873,0.0871559633027523,0.150916981660367,0.149803407601573,0.363586054233536,0.383787936995774,0.636363636363636,0.178877522808958,0.176327575175944,0.145104895104895,0.0860185313234684,0.0925183238832803,54.3450851900393,0.888581697539397,0.950787945811446,0.36964335084324,0.36964335084324
2014,0.0800810947795236,0.278383172833249,0.640268626457172,0.103863381858903,0.0998566027897276,0.135918253079507,0.135966627558337,0.367927132210875,0.389248129833904,0.632329635499208,0.179172413793103,0.176507856056766,0.147151898734177,0.086932523802953,0.0919000965916931,54.8817624820754,0.88551724137931,0.946896551724138,0.365931034482759,0.365931034482759
2015,0.0799028381488111,0.265660956277167,0.653285604704679,0.114841986455982,0.111038021312985,0.108211060948081,0.108275226943823,0.369901155506056,0.39150460593654,0.639423076923077,0.179465776293823,0.177064689337765,0.1504,0.0858733472512178,0.093249826026444,55.402183923168,0.884529771841959,0.948664440734558,0.36505286588759,0.36505286588759
2016,0.0893042575285566,0.241303219106957,0.668613707165109,0.122771416147268,0.118948078219825,0.0966806783591825,0.0962913014160486,0.377498572244432,0.400935429388073,0.641921397379913,0.180313837375178,0.175233644859813,0.125,0.0869254924350557,0.0929203539823009,55.6267026298045,0.879457917261056,0.947218259629101,0.360199714693295,0.360199714693295
2017,0.0982751704773365,0.217943575344297,0.683246423318626,0.136630975720103,0.132194370536339,0.0775147036646056,0.0770200252065537,0.380068320213872,0.405380085653105,0.639455782312925,0.179228486646884,0.172750367696216,0.114285714285714,0.0863757791629564,0.0926090828138914,56.0847220277272,0.875074183976261,0.946884272997033,0.36053412462908,0.36053412462908
